order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipment_mode,shipping_distance_km,order_quantity,unit_price,total_order_value,weather_condition,region,previous_on_time_rate,on_time_delivery,carrier_name_DHL,carrier_name_Delhivery,carrier_name_EcomExpress,carrier_name_FedEx,holiday_period_Yes,delayed_reason_code_Operational,delayed_reason_code_Traffic,delayed_reason_code_Weather,delayed_reason_code_nan,cost_to_distance_ratio
1,5322,0.3600000000000001,1.0,2024-05-15,2024-05-25,2024-05-29,Sea,0.027516778523489927,0.47474747474747475,0.41917690768791077,0.20682139379314915,Clear,East,0.6633333333333336,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20128274118340445
2,3932,0.72,1.0,2024-11-12,2024-11-22,2024-11-27,Sea,0.2436241610738255,0.9090909090909092,0.06222798350549137,0.07362844799647425,Rainy,East,0.7866666666666662,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0592047423177262
3,8966,0.28000000000000025,0.375,2024-08-28,2024-09-02,2024-09-02,Sea,0.8684563758389261,0.24242424242424243,0.641179112399461,0.1620516256879549,Cloudy,South,0.27333333333333343,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08673021633442989
4,9832,0.56,0.625,2024-08-12,2024-08-19,2024-08-19,Air,0.5563758389261745,0.7070707070707072,0.05415016535336627,0.05176340762364091,Rainy,Central,0.5066666666666664,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.033258938059174195
5,2126,0.28000000000000025,0.75,2024-07-07,2024-07-15,2024-07-18,Sea,0.16644295302013423,0.08080808080808081,0.6026844404523741,0.054776716378940514,Cloudy,East,0.23666666666666636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046960476067100895
6,4401,0.2400000000000002,0.75,2024-05-05,2024-05-13,2024-05-14,Road,0.2953020134228188,0.18181818181818182,0.02838974400849222,0.008863830959401558,Cloudy,North,0.3099999999999996,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.00684306120699913
7,8725,0.6000000000000001,1.0,2024-10-14,2024-10-24,2024-10-25,Air,0.17986577181208055,0.9797979797979799,0.07112644429020536,0.08786777245385906,Cloudy,South,0.5733333333333333,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07447268541311149
8,4079,0.6800000000000002,0.625,2024-03-10,2024-03-17,2024-03-16,Sea,0.11140939597315436,0.494949494949495,0.5580043277671171,0.28355428267010074,Rainy,East,0.7399999999999998,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25513036303046505
9,8943,0.3600000000000001,0.625,2024-03-26,2024-04-02,2024-04-07,Road,0.963758389261745,0.8282828282828284,0.5701343240925979,0.480745915042547,Storm,East,0.6599999999999997,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24480909549329974
10,9586,0.9199999999999999,0.75,2024-08-13,2024-08-21,2024-08-24,Sea,0.7919463087248322,0.4646464646464647,0.3392969419834238,0.16567171416463014,Rainy,Central,0.7466666666666666,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09245350341022432
11,1100,0.8800000000000001,0.125,2024-07-31,2024-08-03,2024-08-07,Air,0.6550335570469799,0.35353535353535354,0.35176581063977463,0.13124213747575508,Storm,North,0.46999999999999975,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0792987773069242
12,8103,0.08000000000000007,0.625,2024-08-07,2024-08-14,2024-08-16,Air,0.5912751677852349,0.5353535353535355,0.1376250357244927,0.0835348905550245,Rainy,South,0.23999999999999977,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.052495565975110285
13,4638,0.6000000000000001,0.875,2024-05-29,2024-06-07,2024-06-11,Road,0.776510067114094,0.33333333333333337,0.9184624178336668,0.3129802249897947,Storm,West,0.9499999999999997,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17617700613328074
