supplier_lead_time,shipment_mode,shipping_distance_km,order_quantity,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,on_time_delivery,Promised_Lead_Time,Is_Weekend_Order,Is_Peak_Season,Is_Weekend_Delivery,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,DayOfYear_sin,DayOfYear_cos,supplier_on_time_rate,supplier_delay_rate,supplier_count,Reliable_Supplier,Risky_Supplier,Experienced_Supplier,Risk_Combo,Almost_Certain_OnTime,Very_Likely_Delayed,Safe_Combo,Extreme_Risk,Cost_per_Day,Distance_per_Day,log_Promised_Lead_Time,sqrt_Promised_Lead_Time,log_shipping_distance_km,sqrt_shipping_distance_km,log_unit_price,sqrt_unit_price,log_Risk_Combo,sqrt_Risk_Combo,log_supplier_delay_rate,sqrt_supplier_delay_rate,delayed_reason_code_Operational,delayed_reason_code_Traffic,delayed_reason_code_Weather,Lead_Bin_Fast,Lead_Bin_Normal,Lead_Bin_Slow,Lead_Bin_VerySlow,Dist_Bin_Regional,Dist_Bin_National,Dist_Bin_Continental,Dist_Bin_International,Price_Quantile_MediumLow,Price_Quantile_Medium,Price_Quantile_MediumHigh,Price_Quantile_High,supplier_rating_2.6,supplier_rating_2.7,supplier_rating_2.8,supplier_rating_2.9,supplier_rating_3.0,supplier_rating_3.1,supplier_rating_3.2,supplier_rating_3.3,supplier_rating_3.4,supplier_rating_3.5,supplier_rating_3.6,supplier_rating_3.7,supplier_rating_3.8,supplier_rating_3.9,supplier_rating_4.0,supplier_rating_4.1,supplier_rating_4.2,supplier_rating_4.3,supplier_rating_4.4,supplier_rating_4.5,supplier_rating_4.6,supplier_rating_4.7,supplier_rating_4.8,supplier_rating_4.9,supplier_rating_5.0
10,Sea,51,48,2153.91,103387.68,Clear,East,No,89.9,EcomExpress,0,10,0,0,1,0.5,-0.8660254,0.9749279,-0.22252093,0.7187919,-0.6952253,0.2670476,0.73295236,1,0,1,0,11.067581,0,0,0,0,195.81,4.6363635,2.3978953,3.1622777,3.9512436,7.1414285,7.675504,46.410236,2.4905226,3.3267975,0.5498265,0.85612637,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Sea,373,91,405.36,36887.76,Rainy,East,Yes,93.6,DHL,0,10,0,1,0,-0.5,0.8660254,0.7818315,0.6234898,-0.7379428,0.6748633,0.28730392,0.7126961,3,0,1,0,33.710526,0,0,0,0,36.85091,33.909092,2.3978953,3.1622777,5.924256,19.313208,6.0072393,20.133554,3.5470428,5.8060765,0.5380688,0.8442133,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,Sea,1304,25,3241.41,81035.25,Cloudy,South,No,78.2,BlueDart,1,5,0,0,0,-0.8660254,-0.5,0.9749279,-0.22252093,-0.84372824,-0.5367705,0.30036363,0.69963634,2,0,1,0,49.11447,0,0,0,0,540.235,217.33333,1.7917595,2.236068,7.1739583,36.11094,8.084072,56.933384,3.9143097,7.008172,0.53041434,0.8364427,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Air,839,71,365.79,25971.09,Rainy,Central,No,85.2,FedEx,1,7,0,0,0,-0.8660254,-0.5,0.0,1.0,-0.6660889,-0.7458724,0.31466666,0.6853333,1,0,1,0,45.04696,0,0,0,0,45.72375,104.875,2.0794415,2.6457512,6.733402,28.965496,5.9047894,19.125637,3.8296618,6.7117033,0.52196336,0.8278486,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8,Sea,258,9,3052.84,27475.56,Cloudy,East,No,77.1,BlueDart,0,8,1,0,0,-0.5,-0.8660254,-0.7818315,0.6234898,-0.109445766,-0.99399275,0.2549091,0.7450909,2,0,1,0,21.339403,0,0,0,0,339.20444,28.666666,2.1972246,2.828427,5.556828,16.062378,8.024155,55.25251,3.106352,4.619459,0.5568066,0.8631865,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Road,450,19,239.6,4552.4,Cloudy,North,Yes,79.3,DHL,0,8,1,0,0,0.5,-0.8660254,-0.7818315,0.6234898,0.8271893,-0.5619233,0.27533334,0.72466666,4,0,1,0,31.885334,0,0,0,0,26.622223,50.0,2.1972246,2.828427,6.1114674,21.213203,5.4831357,15.479018,3.4930267,5.64671,0.5450338,0.85127354,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Air,278,98,448.95,43997.1,Cloudy,South,Yes,87.2,Delhivery,0,10,0,0,0,-0.8660254,0.5,0.0,1.0,-0.9708824,0.23955657,0.2549091,0.7450909,2,0,1,0,28.164436,0,0,0,0,40.813637,25.272728,2.3978953,3.1622777,5.6312118,16.673332,6.1091366,21.18844,3.37295,5.307018,0.5568066,0.8631865,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Sea,176,50,2833.97,141698.5,Rainy,East,No,92.2,FedEx,1,7,1,0,1,1.0,6.123234e-17,-0.7818315,0.6234898,0.9335419,0.35846832,0.30036363,0.69963634,2,0,1,0,13.516974,0,0,0,0,354.24625,22.0,2.0794415,2.6457512,5.17615,13.2664995,7.9497867,53.235046,2.6753187,3.6765437,0.53041434,0.8364427,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,Road,1446,83,2893.39,240151.38,Storm,East,No,89.8,DHL,0,7,0,0,0,1.0,6.123234e-17,0.7818315,0.6234898,0.995827,0.091260724,0.30432,0.69568,5,0,1,0,75.28649,0,0,0,0,361.67374,180.75,2.0794415,2.6457512,7.277248,38.026306,7.9705296,53.79024,4.334496,8.676779,0.52808386,0.8340743,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Sea,1190,47,1762.61,82842.67,Rainy,Central,No,92.4,FedEx,0,8,0,0,0,-0.8660254,-0.5,0.7818315,0.6234898,-0.6788205,-0.73430425,0.2670476,0.73295236,1,0,1,0,75.640686,0,0,0,0,195.84555,132.22223,2.1972246,2.828427,7.0825486,34.496376,7.475118,41.983448,4.339128,8.6971655,0.5498265,0.85612637,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,Air,986,36,1823.69,65652.84,Storm,North,Yes,84.1,EcomExpress,0,3,0,0,1,-0.5,-0.8660254,0.9749279,-0.22252093,-0.4990686,-0.8665625,0.2670476,0.73295236,1,0,1,0,23.87959,0,1,0,1,455.9225,246.5,1.3862944,1.7320508,6.89467,31.400637,7.5091653,42.704685,3.2140477,4.8866744,0.5498265,0.85612637,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,Air,891,54,774.7,41833.8,Rainy,South,Yes,77.2,FedEx,0,7,0,0,0,-0.8660254,-0.5,0.9749279,-0.22252093,-0.5995515,-0.8003362,0.24382609,0.7561739,3,0,1,0,52.455784,0,0,0,0,96.8375,111.375,2.0794415,2.6457512,6.793466,29.849623,6.6537657,27.833433,3.978855,7.2426367,0.56313753,0.8695826,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Road,1167,34,4599.71,156390.14,Storm,West,No,98.5,Delhivery,0,9,0,0,0,0.5,-0.8660254,0.9749279,-0.22252093,0.53222716,-0.8466016,0.2549091,0.7450909,2,0,1,0,84.962715,0,0,0,0,459.971,116.7,2.3025851,3.0,7.0630484,34.16138,8.433966,67.82116,4.4539137,9.217523,0.5568066,0.8631865,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,Road,327,15,212.76,3191.4,Clear,West,No,88.6,DHL,1,9,1,0,0,-0.5,-0.8660254,-0.9749279,-0.22252093,-0.21127576,-0.97742647,0.3458182,0.65418184,2,0,1,0,25.140207,0,0,0,0,21.276,32.7,2.3025851,3.0,5.7930136,18.083141,5.364854,14.586295,3.2634747,5.014001,0.5033065,0.80881506,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Sea,878,63,2043.19,128720.97,Clear,South,No,77.5,EcomExpress,0,4,0,0,0,0.5,-0.8660254,0.0,1.0,0.7422809,-0.6700888,0.24382609,0.7561739,3,0,1,0,29.581524,0,0,0,0,408.638,175.6,1.609438,2.0,6.7787848,29.631065,7.622757,45.20166,3.420396,5.43889,0.56313753,0.8695826,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,Air,916,63,2660.96,167640.48,Rainy,West,Yes,93.7,Delhivery,0,7,1,1,1,0.5,0.8660254,-0.7818315,0.6234898,0.35344467,0.93545544,0.2549091,0.7450909,2,0,1,0,52.990864,0,0,0,0,332.62,114.5,2.0794415,2.6457512,6.8211074,30.265491,7.886818,51.584496,3.9888148,7.2794824,0.5568066,0.8631865,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,Road,624,5,3226.04,16130.2,Storm,East,No,79.3,FedEx,1,5,0,0,0,0.5,-0.8660254,-0.43388373,-0.90096885,0.6029879,-0.79775035,0.31466666,0.6853333,1,0,1,0,24.809067,0,0,0,0,537.67334,104.0,1.7917595,2.236068,6.437752,24.979992,8.079321,56.79824,3.2507257,4.9808702,0.52196336,0.8278486,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,Sea,406,64,712.46,45597.44,Rainy,North,Yes,81.4,Delhivery,0,6,1,0,1,-0.8660254,0.5,-0.7818315,0.6234898,-0.97485954,0.2228204,0.2549091,0.7450909,2,0,1,0,22.62096,0,0,0,0,101.78,58.0,1.9459101,2.4494898,6.0088134,20.14944,6.5701265,26.691946,3.1621344,4.75615,0.5568066,0.8631865,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Sea,1375,13,3443.65,44767.45,Rainy,North,Yes,94.8,EcomExpress,0,6,0,0,0,-0.8660254,0.5,0.7818315,0.6234898,-0.92883945,0.37048253,0.23366667,0.76633334,4,0,1,0,67.8205,0,0,0,0,491.95,196.42857,1.9459101,2.4494898,7.226936,37.080994,8.144578,58.68262,4.2315016,8.23532,0.56890583,0.87540466,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Air,1240,54,1779.22,96077.88,Storm,North,No,84.6,Delhivery,0,7,0,0,0,0.5,-0.8660254,0.9749279,-0.22252093,0.8638671,-0.5037198,0.2549091,0.7450909,2,0,1,0,69.88953,0,0,0,0,222.4025,155.0,2.0794415,2.6457512,7.123673,35.213634,7.4844923,42.1808,4.2611227,8.359996,0.5568066,0.8631865,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Air,736,16,2281.68,36506.88,Clear,Central,Yes,98.1,EcomExpress,0,7,0,0,0,-0.5,-0.8660254,0.7818315,0.6234898,-0.4840885,-0.875019,0.2549091,0.7450909,2,0,1,0,43.60272,0,0,0,0,285.21,92.0,2.0794415,2.6457512,6.6025877,27.12932,7.7331057,47.766933,3.7977948,6.6032357,0.5568066,0.8631865,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4,Road,1403,48,1176.38,56466.24,Storm,South,Yes,82.3,Delhivery,1,4,0,0,1,1.2246469e-16,-1.0,0.7818315,0.6234898,0.0966127,-0.99532205,0.31466666,0.6853333,1,0,1,0,41.20224,0,0,0,0,235.276,280.6,1.609438,2.0,7.247081,37.456642,7.071047,34.298397,3.7424734,6.418897,0.52196336,0.8278486,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Road,106,22,3015.58,66342.76,Clear,North,Yes,77.8,EcomExpress,1,6,0,1,0,-0.5,0.8660254,0.7818315,0.6234898,-0.7379428,0.6748633,0.31466666,0.6853333,1,0,1,0,8.47072,0,0,0,0,430.79715,15.142858,1.9459101,2.4494898,4.6728287,10.29563,8.011879,54.914295,2.248205,2.9104502,0.52196336,0.8278486,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
