iter	Passed	Remaining
0	108	32544
1	133	19841
2	171	17000
3	192	14266
4	218	12888
5	242	11875
6	268	11225
7	289	10569
8	312	10116
9	335	9734
10	349	9176
11	365	8783
12	379	8376
13	392	8019
14	405	7713
15	417	7415
16	430	7169
17	445	6975
18	458	6778
19	471	6604
20	488	6494
21	503	6362
22	516	6217
23	529	6084
24	541	5961
25	553	5834
26	565	5720
27	577	5613
28	591	5523
29	604	5439
30	616	5347
31	627	5258
32	640	5181
33	651	5099
34	664	5028
35	675	4951
36	685	4870
37	696	4800
38	709	4744
39	721	4687
40	733	4633
41	745	4579
42	759	4536
43	775	4509
44	788	4469
45	800	4419
46	813	4376
47	823	4320
48	832	4266
49	842	4214
50	853	4166
51	863	4117
52	873	4068
53	882	4020
54	892	3976
55	902	3930
56	914	3897
57	925	3861
58	935	3819
59	944	3776
60	954	3740
61	964	3701
62	974	3665
63	983	3627
64	994	3595
65	1004	3562
66	1015	3531
67	1025	3498
68	1035	3466
69	1044	3433
70	1054	3401
71	1065	3373
72	1075	3342
73	1094	3342
74	1105	3316
75	1117	3292
76	1129	3270
77	1139	3243
78	1209	3382
79	1283	3529
80	1311	3547
81	1366	3632
82	1398	3655
83	1427	3671
84	1441	3645
85	1456	3625
86	1543	3780
87	1560	3759
88	1579	3744
89	1592	3716
90	1605	3687
91	1622	3667
92	1635	3640
93	1650	3617
94	1664	3591
95	1676	3562
96	1687	3532
97	1699	3503
98	1711	3473
99	1722	3445
100	1733	3415
101	2444	4744
102	2457	4700
103	2469	4654
104	3578	6646
105	6495	11887
106	10341	18652
107	10372	18440
108	10406	18235
109	10425	18007
110	10446	17787
111	10463	17562
112	10478	17341
113	10494	17122
114	10507	16904
115	10519	16686
116	10533	16475
117	10546	16266
118	10560	16062
119	10573	15860
120	10587	15661
121	10598	15463
122	10614	15274
123	10627	15084
124	10640	14896
125	10651	14709
126	10662	14524
127	10674	14343
128	10686	14165
129	10701	13994
130	10713	13821
131	10726	13652
132	10738	13483
133	10751	13318
134	10764	13156
135	10776	12994
136	10788	12835
137	10799	12677
138	10810	12521
139	10823	12369
140	10836	12219
141	10848	12070
142	10860	11924
143	10873	11779
144	10886	11636
145	10899	11497
146	10910	11356
147	10923	11218
148	10934	11080
149	10946	10946
150	10971	10825
151	11126	10833
152	11229	10788
153	11269	10684
154	11291	10562
155	11501	10616
156	11522	10495
157	11573	10401
158	11623	10307
159	11656	10199
160	11670	10075
161	11690	9958
162	11708	9840
163	11732	9729
164	11752	9615
165	11776	9506
166	11793	9392
167	11810	9279
168	11833	9172
169	11850	9062
170	11870	8955
171	11895	8852
172	11910	8743
173	11926	8636
174	11948	8534
175	11969	8432
176	11987	8330
177	12003	8227
178	12016	8122
179	12027	8018
180	12037	7914
181	12100	7845
182	12137	7759
183	12175	7675
184	12226	7599
185	12307	7543
186	12395	7490
187	12425	7402
188	12458	7316
189	12487	7229
190	12521	7145
191	12538	7053
192	12564	6965
193	12577	6872
194	12592	6780
195	12602	6687
196	12617	6596
197	12630	6506
198	12645	6418
199	12666	6333
200	12680	6245
201	12696	6159
202	12716	6076
203	12729	5990
204	12743	5905
205	12756	5820
206	12768	5736
207	12783	5654
208	12796	5571
209	12808	5489
210	12823	5409
211	12835	5327
212	12847	5247
213	12860	5168
214	12881	5092
215	12895	5014
216	12905	4936
217	12918	4859
218	12934	4783
219	12946	4707
220	12964	4634
221	12976	4559
222	12993	4486
223	13006	4413
224	13027	4342
225	13046	4271
226	13089	4209
227	13100	4136
228	13111	4064
229	13134	3997
230	13172	3934
231	13183	3864
232	13194	3794
233	13205	3724
234	13228	3658
235	13281	3601
236	13294	3534
237	13311	3467
238	13336	3403
239	13372	3343
240	13390	3278
241	13408	3213
242	13426	3149
243	13441	3084
244	13455	3020
245	13480	2959
246	13513	2899
247	13535	2838
248	14171	2902
249	14184	2836
250	14199	2771
251	14214	2707
252	14227	2643
253	14239	2578
254	15292	2698
255	15310	2631
256	15327	2564
257	15339	2497
258	15351	2430
259	15361	2363
260	16044	2397
261	18184	2637
262	18184	2637
263	20373	2788
264	23198	3075
265	24227	3108
266	27130	3365
267	27299	3271
268	27358	3164
269	27968	3119
270	27982	3005
271	27995	2892
272	28007	2780
273	28021	2668
274	28033	2557
275	28045	2447
276	28057	2338
277	28069	2229
278	28083	2121
279	28095	2014
280	28107	1907
281	28118	1801
282	28130	1695
283	28141	1591
284	28152	1486
285	28164	1383
286	28176	1280
287	28189	1178
288	28200	1077
289	28215	976
290	28230	876
291	28244	776
292	28258	677
293	28274	578
294	28290	481
295	28308	383
296	28323	287
297	28340	190
298	28356	95
299	28368	0
