feature,importance
supplier_reliability_trend,23.91946146692845
supplier_delay_rate,23.283127268803938
supplier_on_time_rate,8.811104706113902
carrier_delay_trend,6.38706107271944
supplier_total_orders,4.704678898512144
supplier_avg_delay,2.918081659551601
previous_on_time_rate,1.9677479070652102
supplier_rating,1.7764568419057782
unit_price,1.436876642848176
lane_difficulty_v2,1.227377747248954
log_unit_price,1.220162133262207
speed_km_per_day,1.2165277703900002
value_density,1.1704878815264754
order_date_days,1.1628950542683196
order_quantity,1.1259216090650184
promised_delivery_date_days,1.075899684726854
promised_lead_gap,1.0610141392473715
log_order_value,1.0303295927089564
log_distance,0.8818255247431876
shipping_distance_km,0.8085699851235663
carrier_total_shipments,0.8052024197409967
lane_risk_score,0.7846420978689818
order_day_of_week,0.7841606261191536
order_week,0.7516932103192012
region_difficulty_score,0.6923165536709766
carrier_avg_delay,0.6794208194699841
total_order_value,0.6601161920866542
carrier_on_time_rate,0.6532564915619721
supplier_lead_time,0.6214639492181326
carrier_delay_rate,0.5485241120527459
shipment_mode_Sea,0.4667834711331435
shipment_mode_Road,0.39583856409279666
carrier_name_Delhivery,0.38776802595308946
region_on_time_rate,0.34895135049487536
order_month,0.33512093317670105
delayed_reason_code_Weather,0.29602488136274435
holiday_period_Yes,0.2872770060954449
region_East,0.27522305358595434
is_weekend,0.2661655463189446
is_end_of_week,0.25674127388785256
is_start_of_week,0.2484982330000059
order_value_bucket,0.24454717199691806
weather_condition_Rainy,0.24086891328210247
region_South,0.22329361011191146
delayed_reason_code_Traffic,0.2219498570400954
weather_condition_Storm,0.19550805111259656
region_North,0.18927951774080012
distance_bucket,0.18558050321609426
region_West,0.17721472611309644
carrier_name_FedEx,0.15921697851632485
carrier_name_DHL,0.14276557667360654
weather_condition_Cloudy,0.0925872668485654
delayed_reason_code_Operational,0.08664570139318381
carrier_name_EcomExpress,0.04747555089012322
is_fiscal_year_end,0.046171240498586445
is_peak_season,0.016098936596090678
weather_risk,0.0
weather_distance_interaction,0.0
