order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipping_distance_km,order_quantity,unit_price,total_order_value,previous_on_time_rate,on_time_delivery,shipment_mode_Road,shipment_mode_Sea,weather_condition_Cloudy,weather_condition_Rainy,weather_condition_Storm,region_East,region_North,region_South,region_West,holiday_period_Yes,carrier_name_DHL,carrier_name_Delhivery,carrier_name_EcomExpress,carrier_name_FedEx,delayed_reason_code_Operational,delayed_reason_code_Traffic,delayed_reason_code_Weather,promised_duration_days,actual_duration_days,delay_days
1,5322,0.3600000000000001,1.0,2024-05-15,2024-05-25,2024-05-29,0.027516778523489927,0.47474747474747475,0.41917690768791077,0.20682139379314915,0.6633333333333336,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1.0,0.9285714285714286,0.8333333333333333
2,3932,0.72,1.0,2024-11-12,2024-11-22,2024-11-27,0.2436241610738255,0.9090909090909092,0.06222798350549137,0.07362844799647425,0.7866666666666662,0,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,1.0,1.0,0.9999999999999999
3,8966,0.28000000000000025,0.375,2024-08-28,2024-09-02,2024-09-02,0.8684563758389261,0.24242424242424243,0.641179112399461,0.1620516256879549,0.27333333333333343,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.375,0.2857142857142857,0.16666666666666666
4,9832,0.56,0.625,2024-08-12,2024-08-19,2024-08-19,0.5563758389261745,0.7070707070707072,0.05415016535336627,0.05176340762364091,0.5066666666666664,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.625,0.4285714285714286,0.16666666666666666
5,2126,0.28000000000000025,0.75,2024-07-07,2024-07-15,2024-07-18,0.16644295302013423,0.08080808080808081,0.6026844404523741,0.054776716378940514,0.23666666666666636,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.75,0.7142857142857143,0.6666666666666666
6,4401,0.2400000000000002,0.75,2024-05-05,2024-05-13,2024-05-14,0.2953020134228188,0.18181818181818182,0.02838974400849222,0.008863830959401558,0.3099999999999996,0,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.75,0.5714285714285714,0.3333333333333333
7,8725,0.6000000000000001,1.0,2024-10-14,2024-10-24,2024-10-25,0.17986577181208055,0.9797979797979799,0.07112644429020536,0.08786777245385906,0.5733333333333333,0,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1.0,0.7142857142857143,0.3333333333333333
8,4079,0.6800000000000002,0.625,2024-03-10,2024-03-17,2024-03-16,0.11140939597315436,0.494949494949495,0.5580043277671171,0.28355428267010074,0.7399999999999998,1,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.625,0.3571428571428571,0.0
9,8943,0.3600000000000001,0.625,2024-03-26,2024-04-02,2024-04-07,0.963758389261745,0.8282828282828284,0.5701343240925979,0.480745915042547,0.6599999999999997,0,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.625,0.7857142857142857,0.9999999999999999
10,9586,0.9199999999999999,0.75,2024-08-13,2024-08-21,2024-08-24,0.7919463087248322,0.4646464646464647,0.3392969419834238,0.16567171416463014,0.7466666666666666,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0.75,0.7142857142857143,0.6666666666666666
