Customer_rating,Cost_of_the_Product,Weight_in_gms,Reached.on.Time_Y.N,order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipping_distance_km,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Cost_to_Weight_Ratio
2,177,1233,1,ORD00001,SUP_010,2.98,9,2025-06-28,2025-07-07,2025-07-10,867,49.01,531,Storm,North,Yes,0.88,DHL,Customs,0,False,False,True,False,0.14355231131909788
5,216,3088,1,ORD00002,SUP_016,3.29,6,2025-09-03,2025-09-09,2025-09-10,882,42.08,432,Storm,East,No,0.6,FedEx,Weather,0,False,False,True,False,0.06994818650584579
2,183,3374,1,ORD00003,SUP_017,2.74,13,2025-02-19,2025-03-04,2025-03-02,1918,34.76,732,Storm,North,Yes,0.59,LocalTruckers,Weather,1,False,False,True,False,0.05423829281142908
3,176,1177,1,ORD00004,SUP_014,2.86,10,2025-05-06,2025-05-16,2025-05-19,1393,32.7,704,Rainy,West,No,0.68,FedEx,Traffic,0,False,False,False,True,0.1495327101533282
2,184,2484,1,ORD00005,SUP_020,4.71,7,2025-03-08,2025-03-15,2025-03-13,72,29.59,552,Storm,East,Yes,0.53,FedEx,Weather,1,False,False,False,True,0.07407407404425359
1,162,1417,1,ORD00006,SUP_012,2.77,9,2025-06-17,2025-06-26,2025-06-27,686,18.2,486,Rainy,West,No,0.86,LocalTruckers,Weather,0,False,False,False,True,0.11432604085086376
4,250,2371,1,ORD00007,SUP_009,2.74,12,2025-12-09,2025-12-21,2025-12-23,1157,23.92,750,Storm,West,Yes,0.83,FedEx,Weather,0,False,False,True,False,0.10544074225835481
1,233,2804,1,ORD00008,SUP_015,4.85,5,2025-06-02,2025-06-07,2025-06-11,760,26.26,466,Rainy,East,Yes,0.92,DHL,Weather,0,False,False,True,False,0.08309557771644238
4,150,1861,1,ORD00009,SUP_012,4.11,9,2025-02-20,2025-03-01,2025-03-04,1399,47.78,450,Rainy,South,Yes,0.71,DHL,Weather,0,False,False,True,False,0.08060182693143372
2,164,1187,1,ORD00010,SUP_014,2.75,13,2025-04-21,2025-05-04,2025-05-04,748,27.02,492,Clear,West,No,0.81,FedEx,Weather,1,False,False,False,True,0.13816343712033408
4,189,2888,1,ORD00011,SUP_018,4.93,13,2025-08-12,2025-08-25,2025-08-25,378,33.45,378,Rainy,East,No,0.97,DHL,Weather,1,False,False,False,True,0.0654432132737385
5,232,3253,1,ORD00012,SUP_020,2.87,10,2025-10-01,2025-10-11,2025-10-14,1677,46.9,696,Rainy,North,Yes,0.97,FedEx,Customs,0,False,False,False,True,0.071318782640234
5,198,3667,1,ORD00013,SUP_006,4.42,7,2025-06-18,2025-06-25,2025-06-24,1403,30.74,594,Rainy,North,No,0.53,DHL,Weather,1,False,False,False,True,0.05399509134060674
4,275,2602,1,ORD00014,SUP_004,2.59,6,2025-12-21,2025-12-27,2025-12-29,1767,20.06,825,Clear,West,No,0.5,FedEx,Weather,0,False,False,False,False,0.10568793231910534
3,152,1009,1,ORD00015,SUP_012,4.06,10,2025-12-03,2025-12-13,2025-12-12,1812,25.24,456,Rainy,East,No,0.97,DHL,Weather,1,False,False,True,False,0.15064420203107612
3,227,2707,1,ORD00016,SUP_013,3.87,10,2025-08-10,2025-08-20,2025-08-24,760,25.02,681,Clear,West,No,0.76,DHL,Weather,0,False,False,True,False,0.0838566678670644
4,143,1194,1,ORD00017,SUP_019,3.02,5,2025-04-17,2025-04-22,2025-04-22,522,38.59,286,Rainy,South,Yes,0.84,LocalTruckers,Weather,1,False,False,False,True,0.11976549403704731
5,227,3952,1,ORD00018,SUP_013,4.11,8,2025-03-09,2025-03-17,2025-03-18,527,21.84,681,Rainy,North,Yes,0.95,FedEx,Customs,0,False,True,False,True,0.0574392712405265
5,239,2495,1,ORD00019,SUP_012,4.04,7,2025-10-22,2025-10-29,2025-11-01,1308,39.21,717,Rainy,South,Yes,0.71,DHL,Customs,0,False,True,False,False,0.09579158312793926
5,145,1059,1,ORD00020,SUP_020,4.5,4,2025-05-25,2025-05-29,2025-06-02,971,45.57,435,Rainy,West,No,0.72,LocalTruckers,Customs,0,False,True,False,True,0.1369216240444555
3,161,1521,1,ORD00021,SUP_003,4.69,10,2025-08-23,2025-09-02,2025-09-07,605,23.44,322,Storm,South,No,0.58,LocalTruckers,Weather,0,False,True,False,True,0.10585141347412792
1,232,2899,1,ORD00022,SUP_003,3.78,14,2025-11-02,2025-11-16,2025-11-21,637,15.41,928,Storm,South,No,0.94,FedEx,Weather,0,False,True,False,True,0.08002759569505775
5,156,1750,1,ORD00023,SUP_014,3.73,8,2025-01-20,2025-01-28,2025-01-26,1726,35.54,312,Storm,West,No,0.82,DHL,Weather,1,False,True,True,False,0.08914285709191837
3,211,3922,1,ORD00024,SUP_018,4.05,4,2025-07-06,2025-07-10,2025-07-10,743,24.43,633,Rainy,West,Yes,0.59,DHL,Weather,1,False,True,False,False,0.053799082087251635
5,251,3561,1,ORD00025,SUP_019,4.32,14,2025-02-04,2025-02-18,2025-02-20,168,31.36,502,Storm,West,Yes,0.77,DHL,Weather,0,False,True,False,True,0.0704858185704898
1,225,3496,1,ORD00026,SUP_010,3.39,7,2025-04-23,2025-04-30,2025-04-30,1113,35.37,900,Clear,South,No,0.66,DHL,Weather,1,False,True,True,False,0.06435926771614438
1,172,1066,1,ORD00027,SUP_017,3.76,3,2025-12-07,2025-12-10,2025-12-12,309,26.31,516,Rainy,East,No,0.57,LocalTruckers,Customs,0,False,True,False,False,0.1613508441263125
1,162,1435,1,ORD00028,SUP_015,3.96,14,2025-08-28,2025-09-11,2025-09-13,998,46.99,486,Storm,East,Yes,0.59,LocalTruckers,Customs,0,False,True,False,True,0.11289198598404739
3,234,3134,1,ORD00029,SUP_019,4.97,12,2025-08-19,2025-08-31,2025-09-03,805,25.98,936,Clear,East,No,0.77,LocalTruckers,Traffic,0,False,True,True,False,0.07466496487726071
4,183,3819,1,ORD00030,SUP_009,3.97,8,2025-06-15,2025-06-23,2025-06-25,1714,22.29,366,Clear,South,No,0.78,FedEx,Weather,0,False,True,True,False,0.04791830320819107
4,266,2741,1,ORD00031,SUP_004,3.06,14,2025-06-05,2025-06-19,2025-06-18,55,45.43,532,Rainy,North,No,0.89,FedEx,Weather,1,False,True,False,True,0.097044874098123
3,257,3341,1,ORD00032,SUP_015,3.97,11,2025-07-26,2025-08-06,2025-08-11,360,15.45,514,Rainy,North,No,0.62,LocalTruckers,Traffic,0,False,True,True,False,0.07692307690005296
1,223,3795,1,ORD00033,SUP_019,4.55,3,2025-03-17,2025-03-20,2025-03-24,115,14.97,669,Clear,West,No,0.95,DHL,Traffic,0,False,True,True,False,0.05876152831126179
2,234,3261,1,ORD00034,SUP_016,4.64,13,2025-10-23,2025-11-05,2025-11-06,1447,47.43,702,Clear,East,No,0.75,DHL,Traffic,0,False,True,False,True,0.07175712969280677
2,227,2460,1,ORD00035,SUP_008,4.5,13,2025-03-22,2025-04-04,2025-04-04,780,18.36,908,Rainy,North,Yes,0.6,LocalTruckers,Weather,1,False,True,False,True,0.0922764227267169
4,149,1811,1,ORD00036,SUP_017,4.72,12,2025-06-22,2025-07-04,2025-07-05,1219,15.94,447,Clear,East,No,0.7,DHL,Weather,0,False,True,False,True,0.08227498615004142
5,137,1477,1,ORD00037,SUP_001,3.34,14,2025-01-06,2025-01-20,2025-01-24,1307,31.41,548,Storm,South,Yes,0.95,DHL,Traffic,0,False,True,False,False,0.09275558558378091
4,181,3605,1,ORD00038,SUP_007,3.77,14,2025-08-02,2025-08-16,2025-08-14,78,11.87,1086,Storm,West,Yes,0.73,FedEx,Weather,1,False,True,False,True,0.05020804436887433
1,215,3905,1,ORD00039,SUP_018,4.45,5,2025-10-10,2025-10-15,2025-10-19,1894,34.8,860,Clear,West,No,0.93,LocalTruckers,Traffic,0,False,True,True,False,0.055057618423800865
2,269,2383,1,ORD00040,SUP_012,3.16,14,2025-06-06,2025-06-20,2025-06-20,1746,28.12,1345,Clear,West,No,0.58,FedEx,Weather,1,False,True,True,False,0.11288292064083806
1,227,3798,1,ORD00041,SUP_016,3.43,9,2025-02-21,2025-03-02,2025-03-07,1716,35.62,454,Rainy,West,Yes,0.95,FedEx,Customs,0,False,True,True,False,0.05976829908905522
5,139,1265,1,ORD00042,SUP_001,4.58,6,2025-02-16,2025-02-22,2025-02-23,709,21.36,556,Storm,West,Yes,0.71,DHL,Customs,0,False,True,False,True,0.1098814228380384
5,137,1647,1,ORD00043,SUP_015,4.43,11,2025-01-10,2025-01-21,2025-01-22,949,46.22,274,Storm,West,No,0.96,LocalTruckers,Weather,0,False,True,False,True,0.08318154214743075
