order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipment_mode,shipping_distance_km,order_quantity,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery
1.0,5322.0,3.4,10,2024-05-15,2024-05-25,2024-05-29,Sea,51,48,2153.91,103387.68,Clear,Nest,No,89.9,EcomExpress,Operational,0
2.0,3932.0,4.3,10,2024-11-12,2024-11-22,2024-11-27,Sea,373,91,405.36,36887.76,Rainy,East,Yes,93.6,DHL,Customs,0
3.0,8966.0,3.2,5,2024-08-28,2024-09-02,2024-09-02,Sea,1304,25,3241.41,81035.25,Cloudy,South,No,78.2,BlueDart,,1
4.0,9832.0,3.9,7,2024-08-12,2024-08-19,2024-08-19,Air,839,71,365.79,25971.09,Rainy,Central,No,85.2,FedEx,Operational,1
5.0,2126.0,3.2,8,2024-07-07,2024-07-15,2024-07-18,Sea,258,9,3052.84,27475.56,Cloudy,East,No,77.1,BlueDart,Customs,0
6.0,4401.0,3.1,8,2024-05-05,2024-05-13,2024-05-14,Road,450,19,239.6,4552.4,Cloudy,North,Yes,79.3,DHL,Traffic,0
7.0,8725.0,4.0,10,2024-10-14,2024-10-24,2024-10-25,Air,278,98,448.95,43997.1,Cloudy,South,Yes,87.2,Delhivery,Traffic,0
8.0,4079.0,4.2,7,2024-03-10,2024-03-17,2024-03-16,Sea,176,50,2833.97,141698.5,Rainy,East,No,92.2,FedEx,,1
9.0,8943.0,3.4,7,2024-03-26,2024-04-02,2024-04-07,Road,1446,83,2893.39,240151.37,Storm,East,No,89.8,DHL,Traffic,0
10.0,9586.0,4.8,8,2024-08-13,2024-08-21,2024-08-24,Sea,1190,47,1762.61,82842.67,Rainy,Central,No,92.4,FedEx,Weather,0
11.0,1100.0,4.7,3,2024-07-31,2024-08-03,2024-08-07,Air,986,36,1823.69,65652.84,Storm,North,Yes,84.1,EcomExpress,,0
12.0,8103.0,2.7,7,2024-08-07,2024-08-14,2024-08-16,Air,891,54,774.7,41833.8,Rainy,South,Yes,77.2,FedEx,Traffic,0
13.0,4638.0,4.0,9,2024-05-29,2024-06-07,2024-06-11,Road,1167,34,4599.71,156390.14,Storm,West,No,98.5,Delhivery,Operational,0
14.0,1801.0,2.6,9,2024-07-13,2024-07-22,2024-07-22,Road,327,15,212.76,3191.4,Clear,West,No,88.6,DHL,,1
15.0,5111.0,4.2,4,2024-05-13,2024-05-17,2024-05-22,Sea,878,63,2043.19,128720.97,Clear,South,No,77.5,EcomExpress,Weather,0
16.0,2382.0,4.3,7,2024-01-21,2024-01-28,2024-01-29,Air,916,63,2660.96,167640.48,Rainy,West,Yes,93.7,Delhivery,Traffic,0
17.0,1466.0,4.0,5,2024-05-24,2024-05-29,2024-05-28,Road,624,5,3226.04,16130.2,Storm,East,No,79.3,FedEx,Traffic,1
18.0,7703.0,2.6,6,2024-10-13,2024-10-19,2024-10-21,Sea,406,64,712.46,45597.44,Rainy,North,Yes,81.4,Delhivery,Weather,0
19.0,1431.0,4.0,6,2024-10-22,2024-10-28,2024-10-29,Sea,1375,13,3443.65,44767.45,Rainy,North,Yes,94.8,EcomExpress,Traffic,0
20.0,9092.0,4.0,7,2024-05-01,2024-05-08,2024-05-09,Air,1240,54,1779.22,96077.88,Storm,North,No,84.6,Delhivery,Weather,0
21.0,4322.0,3.8,7,2024-07-30,2024-08-06,2024-08-07,Air,736,16,2281.68,36506.88,Clear,Central,Yes,98.1,EcomExpress,Customs,0
22.0,1829.0,3.0,4,2024-06-25,2024-06-29,2024-06-29,Road,1403,48,1176.38,56466.24,Storm,South,Yes,82.3,Delhivery,Operational,1
