order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipment_mode,shipping_distance_km,order_quantity,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery,product_id
1.0,5322.0,3.4,10.0,2024-05-15,2024-05-25,2024-05-29,Sea,51.0,48.0,2153.91,103387.68,Clear,East,No,89.9,EcomExpress,Operational,0.0,P0052
2.0,3932.0,4.3,10.0,2024-11-12,2024-11-22,2024-11-27,Sea,373.0,91.0,405.36,36887.76,Rainy,East,Yes,93.6,DHL,Customs,0.0,P0093
3.0,8966.0,3.2,5.0,2024-08-28,2024-09-02,2024-09-02,Sea,1304.0,25.0,3241.41,81035.25,Cloudy,South,No,78.2,BlueDart,Operational,1.0,P0015
4.0,9832.0,3.9,7.0,2024-08-12,2024-08-19,2024-08-19,Air,839.0,71.0,365.79,25971.09,Rainy,Central,No,85.2,FedEx,Operational,1.0,P0072
5.0,2126.0,3.2,8.0,2024-07-07,2024-07-15,2024-07-18,Sea,258.0,9.0,3052.84,27475.56,Cloudy,East,No,77.1,BlueDart,Customs,0.0,P0061
6.0,4401.0,3.1,8.0,2024-05-05,2024-05-13,2024-05-14,Road,450.0,19.0,239.6,4552.4,Cloudy,North,Yes,79.3,DHL,Traffic,0.0,P0021
7.0,8725.0,4.0,10.0,2024-10-14,2024-10-24,2024-10-25,Air,278.0,98.0,448.95,43997.1,Cloudy,South,Yes,87.2,Delhivery,Traffic,0.0,P0083
8.0,4079.0,4.2,7.0,2024-03-10,2024-03-17,2024-03-16,Sea,176.0,50.0,2833.97,141698.5,Rainy,East,No,92.2,FedEx,Operational,1.0,P0087
9.0,8943.0,3.4,7.0,2024-03-26,2024-04-02,2024-04-07,Road,1446.0,83.0,2893.39,240151.37,Storm,East,No,89.8,DHL,Traffic,0.0,P0075
10.0,9586.0,4.8,8.0,2024-08-13,2024-08-21,2024-08-24,Sea,1190.0,47.0,1762.61,82842.67,Rainy,Central,No,92.4,FedEx,Weather,0.0,P0075
11.0,1100.0,4.7,3.0,2024-07-31,2024-08-03,2024-08-07,Air,986.0,36.0,1823.69,65652.84,Storm,North,Yes,84.1,EcomExpress,Operational,0.0,P0088
12.0,8103.0,2.7,7.0,2024-08-07,2024-08-14,2024-08-16,Air,891.0,54.0,774.7,41833.8,Rainy,South,Yes,77.2,FedEx,Traffic,0.0,P0100
13.0,4638.0,4.0,9.0,2024-05-29,2024-06-07,2024-06-11,Road,1167.0,34.0,4599.71,156390.14,Storm,West,No,98.5,Delhivery,Operational,0.0,P0024
14.0,1801.0,2.6,9.0,2024-07-13,2024-07-22,2024-07-22,Road,327.0,15.0,212.76,3191.4,Clear,West,No,88.6,DHL,Operational,1.0,P0003
15.0,5111.0,4.2,4.0,2024-05-13,2024-05-17,2024-05-22,Sea,878.0,63.0,2043.19,128720.97,Clear,South,No,77.5,EcomExpress,Weather,0.0,P0022
16.0,2382.0,4.3,7.0,2024-01-21,2024-01-28,2024-01-29,Air,916.0,63.0,2660.96,167640.48,Rainy,West,Yes,93.7,Delhivery,Traffic,0.0,P0053
17.0,1466.0,4.0,5.0,2024-05-24,2024-05-29,2024-05-28,Road,624.0,5.0,3226.04,16130.2,Storm,East,No,79.3,FedEx,Traffic,1.0,P0002
18.0,7703.0,2.6,6.0,2024-10-13,2024-10-19,2024-10-21,Sea,406.0,64.0,712.46,45597.44,Rainy,North,Yes,81.4,Delhivery,Weather,0.0,P0088
19.0,1431.0,4.0,6.0,2024-10-22,2024-10-28,2024-10-29,Sea,1375.0,13.0,3443.65,44767.45,Rainy,North,Yes,94.8,EcomExpress,Traffic,0.0,P0030
20.0,9092.0,4.0,7.0,2024-05-01,2024-05-08,2024-05-09,Air,1240.0,54.0,1779.22,96077.88,Storm,North,No,84.6,Delhivery,Weather,0.0,P0038
21.0,4322.0,3.8,7.0,2024-07-30,2024-08-06,2024-08-07,Air,736.0,16.0,2281.68,36506.88,Clear,Central,Yes,98.1,EcomExpress,Customs,0.0,P0002
22.0,1829.0,3.0,4.0,2024-06-25,2024-06-29,2024-06-29,Road,1403.0,48.0,1176.38,56466.24,Storm,South,Yes,82.3,Delhivery,Operational,1.0,P0064
23.0,1847.0,4.7,6.0,2024-11-12,2024-11-18,2024-11-17,Road,106.0,22.0,3015.58,66342.76,Clear,North,Yes,77.8,EcomExpress,Traffic,1.0,P0060
24.0,1340.0,4.8,7.0,2024-06-21,2024-06-28,2024-06-30,Road,1055.0,97.0,3074.55,298231.35,Cloudy,South,No,79.0,EcomExpress,Operational,0.0,P0021
25.0,6747.0,3.1,6.0,2024-03-01,2024-03-07,2024-03-09,Road,1287.0,10.0,1039.2,10392.0,Storm,Central,Yes,98.6,EcomExpress,Operational,0.0,P0033
26.0,8144.0,3.6,8.0,2024-02-21,2024-02-29,2024-03-03,Air,561.0,75.0,4649.78,348733.5,Rainy,Central,No,95.3,DHL,Operational,0.0,P0076
27.0,7596.0,4.1,6.0,2024-10-17,2024-10-23,2024-10-24,Road,1410.0,53.0,4239.16,224675.48,Clear,South,Yes,84.1,BlueDart,Customs,0.0,P0058
28.0,4222.0,3.9,10.0,2024-01-20,2024-01-30,2024-01-29,Road,1225.0,26.0,1643.82,42739.32,Rainy,West,Yes,79.2,Delhivery,Weather,1.0,P0022
29.0,7943.0,4.3,10.0,2024-08-10,2024-08-20,2024-08-25,Sea,1260.0,84.0,616.25,51765.0,Storm,West,No,71.2,BlueDart,Weather,0.0,P0089
30.0,5482.0,4.3,6.0,2024-11-06,2024-11-10,2024-11-15,Road,73.0,73.0,3780.9,99717.945,Storm,South,Yes,77.9,BlueDart,Traffic,0.0,P0049
31.0,8376.0,4.9,8.0,2024-05-12,2024-05-20,2024-05-22,Sea,1094.0,76.0,4788.92,363957.92,Rainy,North,No,88.2,EcomExpress,Customs,0.0,P0091
32.0,3555.0,3.0,4.0,2024-06-14,2024-06-18,2024-06-22,Air,1350.0,83.0,3162.55,262491.65,Cloudy,Central,No,92.6,BlueDart,Weather,0.0,P0059
33.0,2465.0,3.1,4.0,2024-04-28,2024-05-02,2024-05-07,Road,860.0,63.0,3171.7,199817.1,Storm,Central,Yes,79.9,BlueDart,Operational,0.0,P0042
34.0,1870.0,2.8,7.0,2024-10-01,2024-10-08,2024-10-12,Road,182.0,9.0,3502.86,31525.74,Rainy,West,Yes,97.4,Delhivery,Customs,0.0,P0092
35.0,6965.0,4.7,7.0,2024-11-10,2024-11-17,2024-11-16,Road,1428.0,69.0,3811.67,263005.23,Rainy,North,No,88.2,FedEx,Customs,1.0,P0060
36.0,6322.0,4.0,3.0,2024-01-05,2024-01-08,2024-01-12,Road,12.0,44.0,2734.24,120306.56,Clear,Central,Yes,95.0,DHL,Traffic,0.0,P0080
37.0,9978.0,4.0,5.0,2024-03-30,2024-04-04,2024-04-09,Air,1132.0,4.0,1471.79,5887.16,INVALID,West,No,72.4,Delhivery,Operational,0.0,P0015
38.0,9467.0,3.0,5.0,2024-11-18,2024-11-23,2024-11-26,Air,1057.0,31.0,2067.98,64107.38,Cloudy,South,No,71.9,BlueDart,Weather,0.0,P0062
39.0,8295.0,3.7,2.0,2024-01-17,2024-01-19,2024-01-20,Air,1195.0,81.0,3673.06,297517.86,Rainy,Central,No,81.9,DHL,Customs,0.0,P0062
40.0,9053.0,4.6,7.0,2024-09-10,2024-09-17,2024-09-18,Sea,1488.0,95.0,300.37,28535.15,Cloudy,West,No,77.5,FedEx,Operational,0.0,P0047
41.0,6209.0,4.6,7.0,2024-03-02,2024-03-09,2024-03-10,Sea,1381.0,36.0,1072.93,38625.48,Cloudy,South,Yes,91.6,EcomExpress,Operational,0.0,P0062
42.0,7820.0,2.8,7.0,2024-05-06,2024-05-13,2024-05-16,Air,1098.0,46.0,2863.86,131737.56,Storm,West,No,71.4,FedEx,Traffic,0.0,P0051
43.0,3472.0,4.5,7.0,2024-02-01,2024-02-08,2024-02-08,Road,1078.0,51.0,3589.59,183069.09,Cloudy,Central,Yes,82.6,DHL,Traffic,1.0,P0055
